Office,Taluk,District,State,Pincode
Chengalam South,Kottayam,Kottayam,KERALA,686022
Chennad,Meenachil,Kottayam,KERALA,686581
Cherpunkal,Meenachil,Kottayam,KERALA,686584
Cholathadom,Meenachil,Kottayam,KERALA,686582
Choondacherry,Meenachil,Kottayam,KERALA,686579
Chovvur,Meenachil,Kottayam,KERALA,686586
Devalokam,Kottayam,Kottayam,KERALA,686004
Edamaruku,Meenachil,Kottayam,KERALA,686652
Edanad,Meenachil,Kottayam,KERALA,686574
Edappady,Meenachil,Kottayam,KERALA,686578
Edavattom,Vaikom,Kottayam,KERALA,686605
Elakad,Meenachil,Kottayam,KERALA,686587
Elikulam,Meenachil,Kottayam,KERALA,686577
Enadi,Vaikom,Kottayam,KERALA,686608
Erattupetta,Meenachil,Kottayam,KERALA,686121
Eravimangalam,Vaikom,Kottayam,KERALA,686613
Eravinalloor,Kottayam,Kottayam,KERALA,686011
Erumapramattom,Meenachil,Kottayam,KERALA,686586
Ettumanur Junction,Kottayam,Kottayam,KERALA,686631
Ettumanur,Kottayam,Kottayam,KERALA,686631
Ezhacherry,Meenachil,Kottayam,KERALA,686651
Ezhumanthuruth,Vaikom,Kottayam,KERALA,686613
Gandhi Nagar Kottayam,Kottayam,Kottayam,KERALA,686008
Idamattom,Meenachil,Kottayam,KERALA,686578
Idiyanal,Meenachil,Kottayam,KERALA,686576
Irumpayam,Vaikom,Kottayam,KERALA,686605
Kadanad Meenachil,Meenachil,Kottayam,KERALA,686653
Kadaplamattom,Meenachil,Kottayam,KERALA,686571
Kadappattoor,Meenachil,Kottayam,KERALA,686574
Kaduthuruthy,Vaikom,Kottayam,KERALA,686604
Kaipally,Meenachil,Kottayam,KERALA,686582
Kaipuzha,Kottayam,Kottayam,KERALA,686602
Kalathoor,Meenachil,Kottayam,KERALA,686633
Kalathukadavu,Meenachil,Kottayam,KERALA,686579
Kallara Kottayam,Vaikom,Kottayam,KERALA,686611
Kallara South,Vaikom,Kottayam,KERALA,686611
Kanakari,Meenachil,Kottayam,KERALA,686632
Kanjiram,Kottayam,Kottayam,KERALA,686020
Kanjirathanam,Vaikom,Kottayam,KERALA,686603
Kappumthala,Vaikom,Kottayam,KERALA,686613
Karikode,Vaikom,Kottayam,KERALA,686610
Karimpani,Kottayam,Kottayam,KERALA,686564
Karipadom,Vaikom,Kottayam,KERALA,686605
Kattachira,Meenachil,Kottayam,KERALA,686572
Kattampack,Vaikom,Kottayam,KERALA,686612
Kayyoor,Meenachil,Kottayam,KERALA,686651
Keezhoor,Vaikom,Kottayam,KERALA,686605
Kezhuvankulam,Meenachil,Kottayam,KERALA,686584
Kidangoor,Meenachil,Kottayam,KERALA,686572
Kidangoor South,Meenachil,Kottayam,KERALA,686583
Kiliroor North,Kottayam,Kottayam,KERALA,686020
Kizhakkenmattom,Meenachil,Kottayam,KERALA,686652
Kizhaparayar,Meenachil,Kottayam,KERALA,686578
Kizhathadiyur,Meenachil,Kottayam,KERALA,686574
Kizhathiri,Meenachil,Kottayam,KERALA,686576
Kodumpidi,Meenachil,Kottayam,KERALA,686651
Kollad,Kottayam,Kottayam,KERALA,686004
Kongandoor,Kottayam,Kottayam,KERALA,686564
Konipad,Meenachil,Kottayam,KERALA,686652
Koodapalam,Meenachil,Kottayam,KERALA,686576
Kothanallur,Meenachil,Kottayam,KERALA,686632
Kothavara,Vaikom,Kottayam,KERALA,686607
Kottakkapuram,Kottayam,Kottayam,KERALA,686631
Kottayam Collectorate,Kottayam,Kottayam,KERALA,686002
Kottayam,Kottayam,Kottayam,KERALA,686001
Kottayam North,Kottayam,Kottayam,KERALA,686001
Kottayam South,Kottayam,Kottayam,KERALA,686013
Kottayam West,Kottayam,Kottayam,KERALA,686003
Kozha,Vaikom,Kottayam,KERALA,686633
Kozhuvanal,Meenachil,Kottayam,KERALA,686573
Kudakkachira,Meenachil,Kottayam,KERALA,686635
Kudalloor,Meenachil,Kottayam,KERALA,686587
Kudamaloor,Kottayam,Kottayam,KERALA,686017
Kudavechoor,Vaikom,Kottayam,KERALA,686144
Kulasekharamangalam,Vaikom,Kottayam,KERALA,686608
Kumarakom East,Kottayam,Kottayam,KERALA,686563
Kumarakom North,Kottayam,Kottayam,KERALA,686563
Kumarakom,Kottayam,Kottayam,KERALA,686563
Kumarakom South,Kottayam,Kottayam,KERALA,686563
Kumaranalloor,Kottayam,Kottayam,KERALA,686016
Kummanam,Kottayam,Kottayam,KERALA,686005
Kummannoor,Meenachil,Kottayam,KERALA,686572
Kunnam,Meenachil,Kottayam,KERALA,686582
Kuravilangadu,Meenachil,Kottayam,KERALA,686633
Kurianad,Meenachil,Kottayam,KERALA,686636
Kurichithanam,Vaikom,Kottayam,KERALA,686634
Kurinji,Meenachil,Kottayam,KERALA,686576
Kurumannu,Meenachil,Kottayam,KERALA,686651
Kurumulloor,Meenachil,Kottayam,KERALA,686632
Kuruppamthara,Vaikom,Kottayam,KERALA,686603
Madukkakunuu,Kanjirappally,Kottayam,KERALA,686577
Malam,Kottayam,Kottayam,KERALA,686019
Mallikasery,Meenachil,Kottayam,KERALA,686577
Malloossery,Kottayam,Kottayam,KERALA,686041
Manarcaudu,Kottayam,Kottayam,KERALA,686019
Manganam,Kottayam,Kottayam,KERALA,686018
Manjoor,Vaikom,Kottayam,KERALA,686603
Manjoor South,Vaikom,Kottayam,KERALA,686603
Mannackanad,Meenachil,Kottayam,KERALA,686633
Mannanam,Kottayam,Kottayam,KERALA,686561
Marangattupally,Vaikom,Kottayam,KERALA,686635
Marangoli,Vaikom,Kottayam,KERALA,686612
Maravanthuruthu,Vaikom,Kottayam,KERALA,686608
Mariappally,Kottayam,Kottayam,KERALA,686013
Mariathuruthu,Kottayam,Kottayam,KERALA,686017
Mary Land,Meenachil,Kottayam,KERALA,686652
Mattakkara,Kottayam,Kottayam,KERALA,686564
Mattathipara,Meenachil,Kottayam,KERALA,686651
Mechal,Meenachil,Kottayam,KERALA,686586
Mediri,Meenachil,Kottayam,KERALA,686576
Meenachil,Meenachil,Kottayam,KERALA,686577
Meenadom,Kottayam,Kottayam,KERALA,686516
Melampara,Meenachil,Kottayam,KERALA,686578
Melukavu,Meenachil,Kottayam,KERALA,686652
Melukavumattom,Meenachil,Kottayam,KERALA,686652
Memuri,Vaikom,Kottayam,KERALA,686611
Mevada,Meenachil,Kottayam,KERALA,686573
Mevelloor,Vaikom,Kottayam,KERALA,686609
Midayikunnu,Vaikom,Kottayam,KERALA,686605
Monippally,Meenachil,Kottayam,KERALA,686636
Moolavattom,Kottayam,Kottayam,KERALA,686012
Moonnilavu,Meenachil,Kottayam,KERALA,686586
Moozhikulangara,Kottayam,Kottayam,KERALA,686601
Mulakulam South,Vaikom,Kottayam,KERALA,686610
Mundankal,Meenachil,Kottayam,KERALA,686574
Mutholi,Meenachil,Kottayam,KERALA,686573
Muttambalam,Kottayam,Kottayam,KERALA,686004
Muttuchira,Vaikom,Kottayam,KERALA,686613
Nadackal,Meenachil,Kottayam,KERALA,686121
Nariayanganam,Meenachil,Kottayam,KERALA,686579
Nattakom,Kottayam,Kottayam,KERALA,686013
Nattassery S H Mount,Kottayam,Kottayam,KERALA,686006
Nazreth Hill,Meenachil,Kottayam,KERALA,686633
Nechipuzhoor,Meenachil,Kottayam,KERALA,686574
Neeloor,Meenachil,Kottayam,KERALA,686651
Neendoor,Kottayam,Kottayam,KERALA,686601
Neerikkad,Kottayam,Kottayam,KERALA,686564
Newsprint Nagar,Vaikom,Kottayam,KERALA,686616
Njandupara,Kanjirappally,Kottayam,KERALA,686577
Njizhoor,Vaikom,Kottayam,KERALA,686612
Olessa,Kottayam,Kottayam,KERALA,686014
Onamthuruthu,Kottayam,Kottayam,KERALA,686602
Ozhavur East,Meenachil,Kottayam,KERALA,686634
Ozhavur,Vaikom,Kottayam,KERALA,686634
Padinjarekkara,Voikom,Kottayam,KERALA,686146
Padinjattinkara,Meenachil,Kottayam,KERALA,686571
Paduva,Kottayam,Kottayam,KERALA,686564
Pakalomattom,Meenachil,Kottayam,KERALA,686633
Pakkil,Kottayam,Kottayam,KERALA,686012
Pala Town,Meenachil,Kottayam,KERALA,686575
Palai,Meenachil,Kottayam,KERALA,686575
Palai Market Junction,Meenachil,Kottayam,KERALA,686575
Palakkattumala,Meenachil,Kottayam,KERALA,686635
Pallippurathussery,Vaikom,Kottayam,KERALA,686606
Pallom,Kottayam,Kottayam,KERALA,686007
Parampuzha,Kottayam,Kottayam,KERALA,686004
Parippu,Kottayam,Kottayam,KERALA,686014
Pariyaram Kottayam,Kottayam,Kottayam,KERALA,686021
Pathampuzha,Meenachil,Kottayam,KERALA,686582
Pattithanam,Kottayam,Kottayam,KERALA,686631
Payyappady,Kottayam,Kottayam,KERALA,686011
Payyappar,Meenachil,Kottayam,KERALA,686651
Peringalam,Meenachil,Kottayam,KERALA,686582
Peroor,Kottayam,Kottayam,KERALA,686637
Perumbaikkad,Kottayam,Kottayam,KERALA,686016
Perumthuruth,Vaikom,Kottayam,KERALA,686611
Peruva,Vaikom,Kottayam,KERALA,686610
Pious Mount,Meenachil,Kottayam,KERALA,686636
Pizhaku,Meenachil,Kottayam,KERALA,686651
Plassanal,Meenachil,Kottayam,KERALA,686579
Ponand karur,Meenachil,Kottayam,KERALA,686574
Poonjar,Meenachil,Kottayam,KERALA,686581
Poonjar Thekkekara,Meenachil,Kottayam,KERALA,686582
Poovanthuruthu GDSB.O,Kottayam,Kottayam,KERALA,686012
Poovarani,Meenachil,Kottayam,KERALA,686577
Poovathode,Meenachil,Kottayam,KERALA,686578
Poozhikole,Vaikom,Kottayam,KERALA,686604
Pravithanam,Meenachil,Kottayam,KERALA,686651
Priyadarsini Hills,Kottayam,Kottayam,KERALA,686560
Pulikkuttissery,Kottayam,Kottayam,KERALA,686015
Puliyannoor,Meenachil,Kottayam,KERALA,686573
Punnathura,Kottayam,Kottayam,KERALA,686583
Punnathura West,Kottayam,Kottayam,KERALA,686631
Puthupalli,Kottayam,Kottayam,KERALA,686011
Puthuvely,Meenachil,Kottayam,KERALA,686636
Ramapuram,Meenachil,Kottayam,KERALA,686576
Ramapuram Bazar,Meenachil,Kottayam,KERALA,686576
Rubber Board,Kottayam,Kottayam,KERALA,686009
Sreekantamangalam,Kottayam,Kottayam,KERALA,686562
Teekoy,Meenachil,Kottayam,KERALA,686580
Thalanad,Meenachil,Kottayam,KERALA,686580
Thalayazham,Vaikom,Kottayam,KERALA,686607
Thalayolaparambu,Vaikom,Kottayam,KERALA,686605
Thazhathangady,Kottayam,Kottayam,KERALA,686005
Thellakom,Kottayam,Kottayam,KERALA,686630
Thidanad,Meenachil,Kottayam,KERALA,686123
Thirumani Venkita Puram,Vaikom,Kottayam,KERALA,686606
Thirunakkara,Kottayam,Kottayam,KERALA,686001
Thiruvanchoor,Kottayam,Kottayam,KERALA,686019
Thiruvanpady,Vaikom,Kottayam,KERALA,686612
Thiruvarppu,Kottayam,Kottayam,KERALA,686020
Thodanal,Meenachil,Kottayam,KERALA,686573
Thottakom,Vaikom,Kottayam,KERALA,686607
Thrikothamangalam,Kottayam,Kottayam,KERALA,686011
Udayanapuram,Vaikom,Kottayam,KERALA,686143
Ullanad,Meenachil,Kottayam,KERALA,686651
Vadakara Thalayolaparabu,Vaikom,Kottayam,KERALA,686605
Vadakkenirappu,Vaikom,Kottayam,KERALA,686612
Vadavathoor,Kottayam,Kottayam,KERALA,686010
Vadayar,Vaikom,Kottayam,KERALA,686605
Vaikaprayar,Vaikom,Kottayam,KERALA,686146
Vaikom,Vaikom,Kottayam,KERALA,686141
Vaikom Thekkenada,Vaikom,Kottayam,KERALA,686146
Vakad,Vaikom,Kottayam,KERALA,686636
Valavoor,Meenachil,Kottayam,KERALA,686635
Vallichira,Meenachil,Kottayam,KERALA,686574
Vattakunnu,Kottayam,Kottayam,KERALA,686516
Vattukulam,Meenachil,Kottayam,KERALA,686587
Vayala,Meenachil,Kottayam,KERALA,686587
Vechoor,Vaikom,Kottayam,KERALA,686144
Velathusseri,Meenachil,Kottayam,KERALA,686580
Veliyannoor,Vaikom,Kottayam,KERALA,686634
Velliappally,Meenachil,Kottayam,KERALA,686574
Vellikulam,Meenachil,Kottayam,KERALA,686580
Veloor,Kottayam,Kottayam,KERALA,686003
Vempally,Vaikom,Kottayam,KERALA,686633
Vettimukal,Kottayam,Kottayam,KERALA,686631
Villoonni,Kottayam,Kottayam,KERALA,686008
Adivaram Pudupadi,Kozhikode,Kozhikode,KERALA,673586
Anakampoyil,Kozhikode,Kozhikode,KERALA,673603
Arakinar,Kozhikode,Kozhikode,KERALA,673028
Avilora,Kozhikode,Kozhikode,KERALA,673572
Beypore North,Kozhikode,Kozhikode,KERALA,673015
Beypore,Kozhikode,Kozhikode,KERALA,673015
Calicut Arts & Science College,Kozhikode,Kozhikode,KERALA,673018
Calicut Beach,Kozhikode,Kozhikode,KERALA,673032
Calicut City,NA,Kozhikode,KERALA,673004
Calicut Civil Station,Kozhikode,Kozhikode,KERALA,673020
Calicut Collectorate,Kozhikode,Kozhikode,KERALA,673020
Calicut Courts,Kozhikode,Kozhikode,KERALA,673032
Calicut,Kozhikode,Kozhikode,KERALA,673001
Calicut Medical College,Kozhikode,Kozhikode,KERALA,673008
Calicut R.S.,Kozhikode,Kozhikode,KERALA,673001
Chalapuram,Kozhikode,Kozhikode,KERALA,673002
Chaliyam,Kozhikode,Kozhikode,KERALA,673301
Chamal,Kozhikode,Kozhikode,KERALA,673573
Chathamangalam,Kozhikode,Kozhikode,KERALA,673601
Chelannur,Kozhikode,Kozhikode,KERALA,673616
Chelavur,Kozhikode,Kozhikode,KERALA,673571
Chembu Kadavu,Kozhikode,Kozhikode,KERALA,673580
Chennamangallur,Kozhikode,Kozhikode,KERALA,673602
Cherooppa,Kozhikode,Kozhikode,KERALA,673661
Cherukulathur,Kozhikode,Kozhikode,KERALA,673008
Cheruvadi,Kozhikode,Kozhikode,KERALA,673661
Cheruvannur,Kozhikode,Kozhikode,KERALA,673655
Chevarambalam,Kozhikode,Kozhikode,KERALA,673017
Chevayur,Kozhikode,Kozhikode,KERALA,673017
Chulur,Kozhikode,Kozhikode,KERALA,673601
Devagiri College,Kozhikode,Kozhikode,KERALA,673008
East Hill,Kozhikode,Kozhikode,KERALA,673005
Edakkad West Hill,Kozhikode,Kozhikode,KERALA,673005
Edakkara Quilandy,Kozhikode,Kozhikode,KERALA,673616
Elathur Kozhikode,Kozhikode,Kozhikode,KERALA,673303
Elettil,Kozhikode,Kozhikode,KERALA,673572
Eranhikkal,Kozhikode,Kozhikode,KERALA,673303
Eranhipalam,Kozhikode,Kozhikode,KERALA,673006
Eravannur,Kozhikode,Kozhikode,KERALA,673585
Farook College,Kozhikode,Kozhikode,KERALA,673632
Feroke Pettah,Kozhikode,Kozhikode,KERALA,673631
Feroke,Kozhikode,Kozhikode,KERALA,673631
Govinda Puram,Kozhikode,Kozhikode,KERALA,673016
Guruvayurappan College,Kozhikode,Kozhikode,KERALA,673014
Iim Kozhikode Campus,Kozhikode,Kozhikode,KERALA,673570
Iringallur,Kozhikode,Kozhikode,KERALA,673014
Irivallur,Kozhikode,Kozhikode,KERALA,673616
Kadalundi,Kozhikode,Kozhikode,KERALA,673302
Kakkad Pudupadi,Kozhikode,Kozhikode,KERALA,673586
Kakkatampoyil,Kozhikode,Kozhikode,KERALA,673604
Kakkoti,Kozhikode,Kozhikode,KERALA,673611
Kakkur,Kozhikode,Kozhikode,KERALA,673613
Kallai kozhikode,Kozhikode,Kozhikode,KERALA,673003
Kallurutty,Kozhikode,Kozhikode,KERALA,673582
Kannan Kara,Kozhikode,Kozhikode,KERALA,673616
Kannancheri,Kozhikode,Kozhikode,KERALA,673003
Kanni Paramba,Kozhikode,Kozhikode,KERALA,673661
Kannoth,Kozhikode,Kozhikode,KERALA,673580
Karanthur,Kozhikode,Kozhikode,KERALA,673571
Karaparamba,Kozhikode,Kozhikode,KERALA,673010
Karasseri,Kozhikode,Kozhikode,KERALA,673602
Karuvampoyil,Kozhikode,Kozhikode,KERALA,673572
Karuvanthuruthy,Kozhikode,Kozhikode,KERALA,673631
Karuvasseri,Kozhikode,Kozhikode,KERALA,673010
Kattippara,Kozhikode,Kozhikode,KERALA,673573
Kayal,Kozhikode,Kozhikode,KERALA,673661
Kilakkoth,Kozhikode,Kozhikode,KERALA,673572
Kizhakkumuri,Kozhikode,Kozhikode,KERALA,673611
Kodiyathur,Kozhikode,Kozhikode,KERALA,673602
Kolathara,Kozhikode,Kozhikode,KERALA,673655
Kommeri,Kozhikode,Kozhikode,KERALA,673007
Konott,Kozhikode,Kozhikode,KERALA,673571
Koombara,Kozhikode,Kozhikode,KERALA,673604
Koombara Bazar,Kozhikode,Kozhikode,KERALA,673604
Kotancheri tamaracheri,Kozhikode,Kozhikode,KERALA,673580
Kottamparamba,Kozhikode,Kozhikode,KERALA,673008
Kottuli,Kozhikode,Kozhikode,KERALA,673016
Kotuvalli,Kozhikode,Kozhikode,KERALA,673572
Kudathai,Kozhikode,Kozhikode,KERALA,673573
Kudathai Bazar,Kozhikode,Kozhikode,KERALA,673573
Kuliramutty,Kozhikode,Kozhikode,KERALA,673604
Kumaranellur,Kozhikode,Kozhikode,KERALA,673602
Kundungal,Kozhikode,Kozhikode,KERALA,673003
Kunnamangalam Mini Ind. Estate,Kozhikode,Kozhikode,KERALA,673571
Kunnamangalam,Kozhikode,Kozhikode,KERALA,673571
Kuppayakode,Kozhikode,Kozhikode,KERALA,673580
Kuruvattur,Kozhikode,Kozhikode,KERALA,673611
Kutaranni,Kozhikode,Kozhikode,KERALA,673604
Kuthiravattom,Kozhikode,Kozhikode,KERALA,673016
Kuttikkattur,Kozhikode,Kozhikode,KERALA,673008
Kythapoyil,Kozhikode,Kozhikode,KERALA,673586
Madavoor,Kozhikode,Kozhikode,KERALA,673585
Maikavu,Kozhikode,Kozhikode,KERALA,673573
Mailellampara,Kozhikode,Kozhikode,KERALA,673586
Makkada,Kozhikode,Kozhikode,KERALA,673611
Malaparamba,Kozhikode,Kozhikode,KERALA,673009
Malayamma,Kozhikode,Kozhikode,KERALA,673601
Manasseri,Kozhikode,Kozhikode,KERALA,673602
Manha Kadavu,Kozhikode,Kozhikode,KERALA,673604
Manipuram,Kozhikode,Kozhikode,KERALA,673572
Mankavu,Kozhikode,Kozhikode,KERALA,673007
Mannur Kozhikode,Kozhikode,Kozhikode,KERALA,673328
Marikunnu,Kozhikode,Kozhikode,KERALA,673012
Mavoor Kozhikode,Kozhikode,Kozhikode,KERALA,673661
Mayanad,Kozhikode,Kozhikode,KERALA,673008
Meemutty,Kozhikode,Kozhikode,KERALA,673580
Mokkam,Kozhikode,Kozhikode,KERALA,673602
Morikkara,Kozhikode,Kozhikode,KERALA,673611
Mundur Kozhikode,Kozhikode,Kozhikode,KERALA,673580
Murampathy,Kozhikode,Kozhikode,KERALA,673580
Muthappan Puzha,Kozhikode,Kozhikode,KERALA,673603
Muttancheri,Kozhikode,Kozhikode,KERALA,673585
Mysore Mala,Kozhikode,Kozhikode,KERALA,673602
Nadakavu,Kozhikode,Kozhikode,KERALA,673011
Nallalam,Kozhikode,Kozhikode,KERALA,673027
Nanminda,Kozhikode,Kozhikode,KERALA,673613
Narikkuni,Kozhikode,Kozhikode,KERALA,673585
Nayar Kuzhi,Kozhikode,Kozhikode,KERALA,673601
Nedungottur,Kozhikode,Kozhikode,KERALA,673010
Neeleswaram,Kozhikode,Kozhikode,KERALA,673582
Nellicode,Kozhikode,Kozhikode,KERALA,673016
Nellika Paramba,Kozhikode,Kozhikode,KERALA,673602
Nit Campus Po.Kozhikode,Kozhikode,Kozhikode,KERALA,673601
Nooramthode,Kozhikode,Kozhikode,KERALA,673586
Olavanna,Kozhikode,Kozhikode,KERALA,673019
Omasseri,Kozhikode,Kozhikode,KERALA,673582
Padanilam,Kozhikode,Kozhikode,KERALA,673571
Palath,Kozhikode,Kozhikode,KERALA,673611
Pannicode,Kozhikode,Kozhikode,KERALA,673602
Pannikkottur,Kozhikode,Kozhikode,KERALA,673572
Pantheerankavu,Kozhikode,Kozhikode,KERALA,673019
Parambil,Kozhikode,Kozhikode,KERALA,673012
Parannur,Kozhikode,Kozhikode,KERALA,673585
Parappanpoyil,Kozhikode,Kozhikode,KERALA,673573
Parappil,Kozhikode,Kozhikode,KERALA,673001
Paropadi,Kozhikode,Kozhikode,KERALA,673009
Pavandur,Kozhikode,Kozhikode,KERALA,673613
Payimbra,Kozhikode,Kozhikode,KERALA,673571
Pazhur,Kozhikode,Kozhikode,KERALA,673661
Peringalam,Kozhikode,Kozhikode,KERALA,673571
Perumanna,Kozhikode,Kozhikode,KERALA,673019
Perumpally,Kozhikode,Kozhikode,KERALA,673586
Perumukham,Kozhikode,Kozhikode,KERALA,673631
Peruvayal,Kozhikode,Kozhikode,KERALA,673008
Pilasseri,Kozhikode,Kozhikode,KERALA,673571
Pokkunnu,Kozhikode,Kozhikode,KERALA,673007
Ponnamkayam,Kozhikode,Kozhikode,KERALA,673603
Poovaranthod,Kozhikode,Kozhikode,KERALA,673604
Poovattu Paramba,Kozhikode,Kozhikode,KERALA,673008
Puduppadi,Kozhikode,Kozhikode,KERALA,673586
Pulluram Para,Kozhikode,Kozhikode,KERALA,673603
Punnakkal,Kozhikode,Kozhikode,KERALA,673603
Punnasseri,Kozhikode,Kozhikode,KERALA,673585
Punnur Cherupalam,Kozhikode,Kozhikode,KERALA,673585
Puthiya Nirathu,Kozhikode,Kozhikode,KERALA,673303
Puthiyangadi,Kozhikode,Kozhikode,KERALA,673021
Puthiyara,Kozhikode,Kozhikode,KERALA,673004
Puthur Kotuvalli,Kozhikode,Kozhikode,KERALA,673582
Ramanattukara,Kozhikode,Kozhikode,KERALA,673633
Santhi Nagar,Kozhikode,Kozhikode,KERALA,673582
Sreerama Krishna Mission,Kozhikode,Kozhikode,KERALA,673003
St.Vincent Colony,Kozhikode,Kozhikode,KERALA,673006
Tali,Kozhikode,Kozhikode,KERALA,673002
Tamaracheri,Kozhikode,Kozhikode,KERALA,673573
Thachampoyil,Kozhikode,Kozhikode,KERALA,673573
Thambalamanna,Kozhikode,Kozhikode,KERALA,673603
Theyyappara,Kozhikode,Kozhikode,KERALA,673580
Thiruthiyad,Kozhikode,Kozhikode,KERALA,673004
Tiruvambadi,Kozhikode,Kozhikode,KERALA,673603
Tiruvannur,Kozhikode,Kozhikode,KERALA,673029
Tiruvannur Nada,Kozhikode,Kozhikode,KERALA,673029
Vaidyarangadi,Kozhikode,Kozhikode,KERALA,673633
Valiyaparamba,Kozhikode,Kozhikode,KERALA,673572
Vavad,Kozhikode,Kozhikode,KERALA,673572
Velancode,Kozhikode,Kozhikode,KERALA,673580
Velimanna,Kozhikode,Kozhikode,KERALA,673582
Vellalasseri,Kozhikode,Kozhikode,KERALA,673601
Vellayikkode,Kozhikode,Kozhikode,KERALA,673019
Vellayil,Kozhikode,Kozhikode,KERALA,673011
Velliparamba,Kozhikode,Kozhikode,KERALA,673008
Venappara,Kozhikode,Kozhikode,KERALA,673582
Vengalam,Quilandy,Kozhikode,KERALA,673303
Vengeri,Kozhikode,Kozhikode,KERALA,673010
Vrindavan Colony,Kozhikode,Kozhikode,KERALA,673017
West Hill Beach,Kozhikode,Kozhikode,KERALA,673005
West Hill Chungam,Kozhikode,Kozhikode,KERALA,673005
West Hill,Kozhikode,Kozhikode,KERALA,673005
Abhayagiri,Vadakara,Kozhikode,KERALA,673517
Adukkath,Vadakara,Kozhikode,KERALA,673508
Akkal,Vadakara,Kozhikode,KERALA,673513
Annasseri,Kozhikode,Kozhikode,KERALA,673317
Arikulam,Koyilandi,Kozhikode,KERALA,673620
Arur,Vadakara,Kozhikode,KERALA,673507
Atholi,Koyilani,Kozhikode,KERALA,673315
Avadukka,Quilandy,Kozhikode,KERALA,673528
Avala,Quilandy,Kozhikode,KERALA,673524
Avitanallur,Koyilandi,Kozhikode,KERALA,673614
Ayancheri,Vadakara,Kozhikode,KERALA,673541
Ayanikkad,Quilandy,Kozhikode,KERALA,673521
Azhiyur,Vadakara,Kozhikode,KERALA,673309
Balusseri,Quilandy,Kozhikode,KERALA,673612
Bhumivathukkal,Vadakara,Kozhikode,KERALA,673517
Chakkittapara,Quilandy,Kozhikode,KERALA,673526
Chaniyankadavu,Vadakara,Kozhikode,KERALA,673541
Chappanthottam,Vadakara,Kozhikode,KERALA,673513
Chathangottunada,Vadakara,Kozhikode,KERALA,673513
Cheekilode,Kozhikode,Kozhikode,KERALA,673315
Cheekkonnummal,Vadakara,Kozhikode,KERALA,673507
Cheekonnummal West,Vadakara,Kozhikode,KERALA,673507
Chekkiyad,Vadakara,Kozhikode,KERALA,673509
Chelakkad,Vadakara,Kozhikode,KERALA,673506
Cheliya,Quilandy,Kozhikode,KERALA,673306
Chemancheri,Koyilandi,Kozhikode,KERALA,673304
Chemmarathur,Vadakara,Kozhikode,KERALA,673104
Chempanoda,Koyilandi,Kozhikode,KERALA,673528
Chengaroth,Quilandy,Kozhikode,KERALA,673528
Chenoli,Koyilandi,Kozhikode,KERALA,673525
Cherandathur,Vadakara,Kozhikode,KERALA,673541
Cherapuram,Vadakara,Kozhikode,KERALA,673507
Cherukad,Quilandy,Kozhikode,KERALA,673527
Cherumoth,Vadakara,Kozhikode,KERALA,673517
Cheruvannur Meladi,Koyilandi,Kozhikode,KERALA,673524
Chingapuram,Quilandy,Kozhikode,KERALA,673529
Chombala,Vadakara,Kozhikode,KERALA,673308
Chorode East,Vadakara,Kozhikode,KERALA,673106
Chorode,Vadakara,Kozhikode,KERALA,673106
Chuzhali,Vadakara,Kozhikode,KERALA,673517
Edacheri North,Vadakara,Kozhikode,KERALA,673502
Edacheri,Vadakara,Kozhikode,KERALA,673502
Edakulam Koyilandi,Koyilandi,Kozhikode,KERALA,673306
Edavarad,Quilandy,Kozhikode,KERALA,673525
Ekarool,Koyilandi,Kozhikode,KERALA,673574
Emmamparamba,Quilandy,Kozhikode,KERALA,673574
Eramala,Vadakara,Kozhikode,KERALA,673501
Eramangalam,Quilandy,Kozhikode,KERALA,673612
Eravattur,Koyilandi,Kozhikode,KERALA,673525
Indira Nagar,Vadakara,Kozhikode,KERALA,673506
Iringal,Vadakara,Kozhikode,KERALA,673521
Iringannur,Vadakara,Kozhikode,KERALA,673505
Iringath,Quilandy,Kozhikode,KERALA,673523
Iyyad,Quilandy,Kozhikode,KERALA,673574
Iyyangode,Vadakara,Kozhikode,KERALA,673504
Kadiyangad,Koyilandi,Kozhikode,KERALA,673525
Kakkancheri,Quilandy,Kozhikode,KERALA,673620
Kakkattil,Vadakara,Kozhikode,KERALA,673507
Kakkayam,Quilandy,Kozhikode,KERALA,673615
Kallachi,Vadakara,Kozhikode,KERALA,673506
Kallanode,Quilandy,Kozhikode,KERALA,673615
Kallunira,Vadakara,Kozhikode,KERALA,673517
Kalpathur,Quilandy,Kozhikode,KERALA,673524
Kannadipoil,Quilandy,Kozhikode,KERALA,673612
Kannookkara,Vadakara,Kozhikode,KERALA,673102
Kappad,Quilandy,Kozhikode,KERALA,673304
Karandode,Vadakara,Kozhikode,KERALA,673508
Karayad,Quilandy,Kozhikode,KERALA,673524
Karingad,Vadakara,Kozhikode,KERALA,673513
Kariyathankavu,Quilandy,Kozhikode,KERALA,673612
Karthikappally,Vadakara,Kozhikode,KERALA,673542
Karumala,Koyilandi,Kozhikode,KERALA,673612
Karuvannur,Quilandy,Kozhikode,KERALA,673614
Katalur,Koyilandi,Kozhikode,KERALA,673529
Katameri,Vadakara,Kozhikode,KERALA,673542
Katcheri,Vadakara,Kozhikode,KERALA,673502
Kavil,Quilandy,Kozhikode,KERALA,673614
Kavilampara,Vadakara,Kozhikode,KERALA,673513
